market,airlineAA,airlineDL,airlineUA,airlineAL,airlineLCC,airlineWN,marketdistance,fromcenterdistance,mindistance,changeincmarket,percapitaincmarket,marketsize,wrightamendmDAL,dallasmarket,marketpresenceAA,marketpresenceDL,marketpresenceUA,marketpresenceAL,marketpresenceLCC,marketpresenceWN,mindistancefromhubAA,mindistancefromhubDL,mindistancefromhubUA,mindistancefromhubAL,mindistancefromhubLCC,mindistancefromhubWN
ABEATL,0,1,0,0,0,0,0.691999972,1.343002439,0.335306466,3.25,3.195271015,1.816542864,0,0,0.180000007,0.559090912,0.24636364,0.480303049,0.106666669,0,0.818319857,0,0.818319857,0.020989567,0,0.006918582
ABEBNA,0,0,0,1,0,0,0.685000002,1.141122937,0.335306466,3.200000048,3.085657358,1.001007318,0,0,0.203703701,0.464646459,0.205808088,0.488636374,0,0.21296297,0.549801469,0.067416497,0.549801469,0.04093463,0.038201593,0.032335535
ABECVG,0,0,0,0,0,0,0.503000021,1.22669208,0.335306466,2.449999809,3.070847034,1.232560754,0,0,0.03846154,0.646270394,0.219696969,0.363636374,0,0,0.822086394,0,0.822086394,0.008662866,0.113940015,0.092732184
ABEDAL,0,0,0,0,0,0,1.299999952,1.333661079,0.114111654,3,3.228897333,2.002419472,1,1,0.042857144,0.187662333,0.13636364,0.363636374,0,0.414285719,0.012454834,0.003559946,0.115492597,0.007775221,0.01237192,0.020558706
ABEDEN,0,0,1,1,0,0,1.539000034,1.598928213,0.335306466,4.099999905,3.491519213,1.374757171,0,0,0.278169006,0.433738798,0.470870674,0.504481435,0.080985919,0,0,0.018033331,0,0,0,0
ABEDFW,0,0,1,1,0,0,1.307999969,1.338381648,0.114111654,3,3.228897333,2.002419472,0,1,0.372611463,0.483931661,0.279675722,0.455993056,0.092356689,0,0,0,0.11144086,0.007068039,0,0.020644441
ABEFLL,0,1,0,1,0,0,1.041000009,1.902843595,0.211625397,3.25,3.115213156,1.958312154,0,0,0.19298245,0.562599659,0.162679434,0.596092522,0.114035085,0.157894731,0.76312989,0.223044857,0.76312989,0.007410407,0.001206163,0.006736733
ABEIND,0,0,0,1,0,0,0.577000022,1.158396006,0.335306466,2.75,3.138168573,1.079609156,0,0,0.239130437,0.360177875,0.326581031,0.575592875,0.038043477,0.179347828,0.437227935,0.038956404,0.437227935,0,0.109487019,0.100147158
ABELAX,0,0,0,1,0,0,2.388000011,2.402632952,0.183144793,3.450000048,3.121347189,3.067233801,0,0,0.313793093,0.455642641,0.405329168,0.515360534,0.044827588,0.168965518,0.001709598,0.00320409,0.001709598,0,0,0
ABEMCO,0,1,0,1,0,0,0.906000018,1.72954309,0.335306466,2.849999905,2.87154603,1.13113749,0,0,0.241379306,0.503918529,0.284639508,0.577429473,0.089655176,0.155172408,0.829778492,0.208846271,0.829778492,0.012345674,0.00141196,0.003557892
ABEMIA,0,0,0,1,0,0,1.062000036,1.913853526,0.211625397,3.25,3.115213156,1.958312154,0,0,0.318584085,0.477674991,0.246983111,0.571600974,0.088495575,0,0.742788434,0.212224871,0.742788434,0.007085825,0.001072196,0.006220988
ABEMSY,0,1,0,1,0,0,1.110999942,1.410573602,0.335306466,4.399999619,2.921081305,0.99165374,0,0,0.217391297,0.511264801,0.236363649,0.485375494,0.082608692,0.204347819,0.341266632,0.004434196,0.341266632,0.017417269,0.004434196,0.0064839
ABEORD,0,0,1,1,0,0,0.653999984,1.196850061,0.155067578,1.849999905,3.27181983,2.626126766,0,0,0.346405238,0.39438504,0.446821153,0.491087377,0.01633987,0,0,0.17059046,0,0,0.007880535,0.007880535
ABEPBI,0,0,0,1,0,0,0.999000013,1.871119022,0.335306466,3,3.707777023,0.931952834,0,0,0.073170729,0.59201777,0.148558766,0.625831485,0.054878049,0.140243903,0.798986018,0.238219664,0.798986018,0.008171502,0.008171502,0.007056495
ABERSW,0,1,0,1,0,0,1.037999988,1.820542693,0.264955878,6.600000381,3.071760893,0.586618125,0,0,0.186746985,0.514512599,0.14841184,0.604600251,0.108433738,0,0.709012806,0.163084298,0.709012806,0.010316235,0.001432621,0.00371503
ABESFO,0,0,1,0,0,0,2.5,2.556753874,0.112048075,0.899999976,3.900093317,1.769521594,0,0,0.285714298,0.427998483,0.464094758,0.51909858,0.054621849,0,0,0.01242168,0,0,0,0
ABESTL,0,0,0,0,0,0,0.805000007,0.939831614,0.335306466,1.949999928,3.09060216,1.427802324,0,0,0.337606847,0.287296057,0.251748264,0.491841495,0.004273504,0.205128208,0.130438194,0.003556947,0.130438194,0,0.074792325,0.063399076
ABETPA,0,1,0,1,0,0,0.963,1.711361527,0.102310307,3.099999905,2.981100559,1.353435755,0,0,0.204724416,0.525232673,0.246599853,0.584108829,0.090551183,0.157480314,0.729292035,0.140763164,0.729292035,0.013126995,0.000725323,0.001526766
ABQALB,0,1,0,0,0,0,1.832999945,1.849822044,0.424968541,6.849999905,2.98167491,0.783187389,0,0,0.40291959,0.493977129,0.253266633,0.314516127,0.056962024,0.494487524,0.001251137,0.013641774,0.001251137,0,0,0
ABQATL,1,1,0,1,1,0,1.269000053,1.354950428,0.493155867,6.899999619,3.080229998,1.804507017,0,0,0.445822805,0.627848089,0.274556965,0.274894506,0.106666669,0.284810126,0.021756604,0,0.217405975,0.127034694,0,0.109233014
ABQAUS,1,1,0,1,0,1,0.619000018,1.52145505,0.493155867,6.299999714,3.009367466,0.987763882,0,0,0.649156094,0.533403635,0.253445864,0.441561162,0.056962024,0.529254556,0.223490134,0.223490134,0.815703392,0.426124185,0.223490134,0.464058667
ABQBDL,1,1,0,1,0,0,1.886000037,1.894149661,0.493155867,6.349999905,3.297739506,0.925624609,0,0,0.495234549,0.533730447,0.329262853,0.305286676,0.056962024,0.449515998,0.004976663,0.0054964,0.004976663,0,0,0
ABQBHM,0,0,0,1,0,1,1.138000011,1.264101505,0.493155867,7.149999619,2.877565145,0.885708451,0,0,0.361713201,0.63195771,0.171406284,0.247268945,0.056962024,0.551933408,0.021656325,0.021656325,0.25570932,0.145308718,0.021656325,0.150657713
ABQBNA,1,1,0,1,0,1,1.123000026,1.153070927,0.493155867,6.849999905,2.970616102,0.99437505,0,0,0.4695265,0.533403635,0.234001413,0.250175804,0.056962024,0.497773111,0.065729484,0.065729484,0.210213333,0.245182306,0.065729484,0.074332125
ABQBOI,0,0,1,1,0,1,0.781000018,2.236125708,0.493155867,7.149999619,2.84931469,0.59912169,0,0,0.265822798,0.384098113,0.518723607,0.21545358,0.114583336,0.482726812,1.351870298,1.351870298,0.27619791,0.28730318,0.27619791,0.28730318
ABQBOS,1,1,1,1,0,0,1.973999977,1.98370707,0.488609225,6.349999905,3.526531935,1.809797645,0,0,0.522125363,0.534570813,0.345229238,0.343101799,0.094777152,0.284810126,0.002324221,0.006426192,0.002324221,0,0,0
ABQBTR,0,1,0,0,0,0,0.950999975,1.382430434,0.493155867,6.849999905,2.662041903,0.724820256,0,0,0.305296481,0.6883744,0.164556965,0.289806783,0.056962024,0.284810126,0,0,0.414442569,0.046374653,0,0.06402979
ABQBUF,0,0,0,0,0,0,1.588000059,1.618249297,0.493155867,5.5,2.786762476,0.92781657,0,0,0.459371179,0.429461002,0.285524696,0.330645174,0.072580643,0.446100444,0,0.03680712,0,0,0,0
ABQBUR,0,0,0,1,0,1,0.671999991,2.396546841,0.183144793,7.099999905,3.006306171,3.04691124,0,0,0.38777402,0.227848098,0.384069145,0.327107131,0.056962024,0.601883292,1.651372433,1.651372433,0.772388995,0.013853528,0.032296862,0.013853528
ABQBWI,1,1,1,1,1,1,1.669999957,1.665539265,0.297422618,7.949999809,3.521475315,1.907351255,0,0,0.462251365,0.509098113,0.325271249,0.354656398,0.101604879,0.516952991,0.038598265,0,0.038598265,0.01281921,0.003012651,0
ABQCMH,1,1,0,1,0,0,1.343000054,1.346439719,0.493155867,6.449999809,2.969717979,1.10136652,0,0,0.498380959,0.495289981,0.292463958,0.315204591,0.056962024,0.459228724,0.050290607,0.00694301,0.050290607,0.116203487,0.002996222,0.002996222
ABQCOS,0,0,1,0,0,0,0.280000001,1.60851562,0.374438196,7.049999714,2.90657115,0.640829265,0,0,0.640822768,0.436181426,0.497890294,0.216561183,0.056962024,0.284810126,3.1390028,3.1390028,0.505674839,2.135937929,0.505674839,2.135937929
ABQCVG,0,1,0,0,0,0,1.24000001,1.238640189,0.493155867,6.099999905,2.955805779,1.224394083,0,0,0.304284334,0.715027571,0.247890294,0.209509894,0.056962024,0.284810126,0.110747106,0,0.112097465,0.268562943,0.011386305,0.011386305
ABQDAL,0,0,0,0,0,1,0.579999983,1.345609188,0.114111654,6.649999619,3.113856316,1.989152074,0,1,0.308679938,0.256419539,0.164556965,0.286799282,0.056962024,0.699095845,0,0,0.722541749,0.653886974,0,0.719966888
ABQDAY,1,0,0,0,0,0,1.271999955,1.276657462,0.493155867,5.599999905,2.856449127,0.790962815,0,0,0.4801085,0.451062381,0.271699816,0.229656428,0.116071425,0.284810126,0.064960308,0.022358924,0.064960308,0.186904326,0.003093983,0.003093983
ABQDCA,1,1,0,1,0,0,1.649999976,1.645361304,0.234365851,7.949999809,3.521475315,1.907351255,0,0,0.473851979,0.486972213,0.288644552,0.285965085,0.082509473,0.284810126,0.045483842,0,0.045483842,0.021777121,0,0.007822118
ABQDEN,0,0,1,0,1,0,0.349000007,1.610876203,0.446166456,7.75,3.376478195,1.365648508,0,0,0.543991804,0.502496004,0.499064028,0.277946174,0.137947947,0.284810126,2.459756374,2.459756374,0.000283403,1.661562204,0.000283403,1.661562204
ABQDFW,1,1,0,0,0,0,0.569000006,1.350329518,0.114111654,6.649999619,3.113856316,1.989152074,0,1,0.638434291,0.552688837,0.307869077,0.298355222,0.092356689,0.284810126,0,0,0.73892808,0.699676573,0,0.766632974
ABQDSM,0,0,1,0,0,0,0.833000004,1.159710407,0.493155867,6.449999809,2.973899126,0.643322587,0,0,0.658679962,0.251657635,0.50979507,0.319620252,0.056962024,0.284810126,0.430563986,0.430563986,0.124247797,0.454782397,0.057084505,0.057084505
ABQELP,0,0,0,0,1,1,0.223000005,1.829782963,0.461784184,8.100000381,2.381468296,0.713098586,0,0,0.573515117,0.327848107,0.164556965,0.319766313,0.08003895,0.554040909,4.007238388,4.007238388,3.094816923,2.021903038,3.094816923,2.021903038
ABQFLL,1,1,0,1,0,1,1.687000036,1.914791465,0.211625397,6.899999619,3.000172138,1.945337057,0,0,0.458805263,0.631356895,0.190872759,0.346824348,0.114035085,0.442704856,0,0,0.2148083,0.011065996,0,0.015192435
ABQGEG,0,0,1,1,0,1,1.034999967,2.360049248,0.493155867,5.599999905,2.709091902,0.559279919,0,0,0.265822798,0.362463474,0.404941559,0.252312541,0.192307696,0.486733198,0.972354293,0.972354293,0.143256888,0.247777253,0.143256888,0.247777253
ABQHOU,0,0,0,0,0,1,0.759000003,1.489470005,0.236466587,7.949999809,3.173413754,1.893014789,0,0,0.420143783,0.419206142,0.164556965,0.158227846,0.148148149,0.581106424,0.073116019,0.073116019,0.622659266,0.009317793,0,0
ABQIAD,1,1,1,0,0,0,1.628000021,1.622872114,0.234365851,7.949999809,3.521475315,1.907351255,0,0,0.459156126,0.514514744,0.444556952,0.218227848,0.100000001,0.284810126,0.045386612,0,0.045386612,0.022094727,0.007191201,0.007191201
ABQIND,1,0,1,1,0,1,1.161000013,1.170343995,0.441090435,6.399999619,3.023127317,1.072456002,0,0,0.504953265,0.428935051,0.354774356,0.368533283,0.056962024,0.464157939,0.112637356,0.14405559,0.112637356,0.275776088,0.004657493,0.004657493
ABQISP,0,0,0,0,0,1,1.860999942,1.861881852,0.370246112,6,3.431379318,3.698421478,0,0,0.334788322,0.365779132,0.164556965,0.227193356,0.056962024,0.73308599,0.012938535,0,0.012938535,0,0,0
ABQJAN,0,1,0,0,0,1,0.970000029,1.265004635,0.493155867,7.099999905,2.721774817,0.609092951,0,0,0.295234561,0.678828478,0.193968728,0.216679081,0.056962024,0.43186897,0.004290457,0.004290457,0.35444814,0.12622045,0.004290457,0.151019976
ABQJAX,1,1,0,1,0,0,1.480000019,1.620656252,0.493155867,5.699999809,2.870578527,0.921662927,0,0,0.426742345,0.6416412,0.176051214,0.267423242,0.109195404,0.439982533,0.002317274,0.002317274,0.211231619,0.052040882,0,0.061811458
ABQJFK,1,0,0,0,0,0,1.825000048,1.825562954,0.11014735,6,3.431379318,3.698421478,0,0,0.657979667,0.5023579,0.26259619,0.244849846,0.127450988,0.284810126,0.015094914,0,0.015094914,0,0.000291564,0.000291564
ABQLAX,0,0,1,1,0,1,0.676999986,2.41458106,0.183144793,7.099999905,3.006306171,3.04691124,0,0,0.579615891,0.524399817,0.433522463,0.351331294,0.101789609,0.453775644,1.65619719,1.65619719,0.786272526,0.029205278,0,0.029205278
ABQLGA,1,1,1,1,1,0,1.82099998,1.82148242,0.11014735,6,3.431379318,3.698421478,0,0,0.540412962,0.486044824,0.336688101,0.290931731,0.097945631,0.284810126,0.013477273,0,0.013477273,0,0,0
ABQLIT,1,1,0,0,0,1,0.816999972,1.099899054,0.493155867,7.299999714,2.804918051,0.675509274,0,0,0.637034893,0.538454175,0.17213273,0.221135408,0.056962024,0.512082875,0.065401003,0.065401003,0.367592573,0.36689496,0.066011801,0.297630727
ABQMCI,1,0,1,0,0,1,0.717999995,1.088511825,0.493155867,6.25,3.010167837,1.174154282,0,0,0.558615565,0.502622843,0.344737142,0.294845462,0.092998058,0.505530834,0.431293964,0.431293964,0.225458592,0.906220436,0,0
ABQMCO,1,1,1,1,0,1,1.552000046,1.74149096,0.472719043,6.5,2.756504774,1.123643041,0,0,0.507202089,0.572675705,0.312832832,0.347883016,0.089655176,0.439982533,0,0,0.218836129,0.026578058,0,0.033343285
ABQMDT,0,0,0,0,0,0,1.667000055,1.66617167,0.439537078,6.399999619,2.932403803,0.614578605,0,0,0.390822798,0.337223113,0.28955698,0.40625,0.056962024,0.284810126,0.024135139,0,0.024135139,0,0.001681597,0.001681597
ABQMDW,0,0,0,0,1,1,1.121000051,1.20219326,0.155067578,5.5,3.156778574,2.60872674,0,0,0.301537097,0.227848098,0.164556965,0.172513559,0.150000006,0.627667308,0.00833334,0.216716722,0.00833334,0.184044242,0,0
ABQMEM,0,0,0,0,0,0,0.941999972,1.082223415,0.493155867,7.299999714,2.88842535,0.948571622,0,0,0.39740175,0.504163861,0.2106096,0.444620252,0.131578952,0.284810126,0.059245504,0.059245504,0.293570042,0.285624564,0.059245504,0.176847875
ABQMIA,1,0,0,1,0,0,1.68900001,1.925801516,0.211625397,6.899999619,3.000172138,1.945337057,0,0,0.584406853,0.546432197,0.275176436,0.29097122,0.088495575,0.284810126,0,0,0.217063993,0.00925689,0,0.01309065
ABQMKE,1,0,0,1,0,0,1.14199996,1.267119408,0.493155867,6.5,3.089910507,1.055270076,0,0,0.488045037,0.400687605,0.337396473,0.452336311,0.154320985,0.284810126,0.034991208,0.243632674,0.034991208,0.117077082,0,0.008136488
ABQMSY,1,1,0,1,0,1,1.014999986,1.422521472,0.493155867,8.049999237,2.806040049,0.985083401,0,0,0.48321408,0.580022037,0.264556974,0.371271312,0.082608692,0.489157945,0,0,0.38882041,0.03122751,0,0.044216271
ABQOAK,0,0,1,1,0,1,0.888999999,2.558979273,0.112048075,4.549999714,3.785052299,1.75779736,0,0,0.539795399,0.351135761,0.486474752,0.31307441,0.056962024,0.613577247,1.271409988,1.271409988,0.466008008,0.002447997,0.002424517,0.002447997
ABQOKC,0,0,0,0,0,1,0.50999999,1.268575668,0.493155867,8.350000381,2.808261871,0.904941142,0,0,0.625822783,0.487848103,0.297890306,0.271561176,0.056962024,0.551476836,0.455626965,0.455626965,0.653178632,1.231910586,0.455626965,1.017987132
ABQOMA,1,0,1,0,1,0,0.725000024,1.219060898,0.493155867,6.649999619,3.021683216,0.757506788,0,0,0.644610643,0.326332957,0.467587292,0.327196002,0.125143841,0.496931344,0.587377429,0.587377429,0.130490467,0.739495039,0.130490467,0.197430715
ABQORD,1,1,1,0,0,0,1.118000031,1.208798051,0.155067578,5.5,3.156778574,2.60872674,0,0,0.612228036,0.463142216,0.475014508,0.239927202,0.056962024,0.284810126,0,0.224083096,0,0.174183533,9.73942E-05,9.73942E-05
ABQORF,1,1,0,0,0,0,1.702000022,1.701121211,0.228941053,7.599999905,2.787659645,1.083320975,0,0,0.465822816,0.547848105,0.204556972,0.300000012,0.056962024,0.284810126,0.04371487,0.011064217,0.075149767,0.018755293,0.010765138,0.018812671
ABQPBI,0,1,0,1,0,0,1.671000004,1.883066893,0.421313316,6.649999619,3.592736006,0.925777972,0,0,0.33899352,0.660774946,0.17675209,0.316764414,0.056962024,0.425054014,0,0,0.212049067,0.014787091,0,0.019534025
ABQPDX,0,0,1,1,0,1,1.110999942,2.565366983,0.493155867,6.099999905,3.016193628,1.209092855,0,0,0.529559076,0.519056916,0.499721825,0.261927962,0.131868139,0.460634291,0.961639822,0.961639822,0.204274729,0.122908875,0,0.122908875
ABQPVD,1,1,0,1,0,0,1.950000048,1.955850601,0.422890365,7.649999619,2.923308849,1.086991668,0,0,0.47004813,0.495453715,0.298359782,0.369495451,0.056962024,0.53833127,0.005743815,0.003378405,0.005743815,0,0,0
ABQRDU,1,1,0,1,0,1,1.565000057,1.575446844,0.493155867,7.25,3.104318619,0.785417557,0,0,0.472344518,0.570239425,0.240643919,0.288662612,0.141304344,0.502201438,0.038925063,0.035658572,0.124889709,0.006175276,0,0.033992175
ABQRIC,1,1,0,0,0,0,1.636999965,1.63436842,0.493155867,7.449999809,2.992972374,0.906705916,0,0,0.420995206,0.572675705,0.216281101,0.396551728,0.056962024,0.284810126,0.051733352,0.007244653,0.072246462,0.039066304,0.016509097,0.016509097
ABQSAN,0,0,0,1,0,1,0.628000021,2.376049757,0.493155867,7.049999714,3.095573664,1.454113841,0,0,0.575740159,0.508839846,0.391829699,0.30698818,0.110681027,0.479025006,1.761622548,1.761622548,0.911718667,0.004779986,0.184164837,0.004779986
ABQSAT,1,1,0,1,0,1,0.609000027,1.585742116,0.493155867,6.049999714,2.751121998,1.136376143,0,0,0.597598493,0.564296722,0.276706487,0.438601673,0.056962024,0.4904176,0.336825758,0.336825758,0.877656698,0.531268418,0.336825758,0.559181035
ABQSDF,1,1,0,0,0,1,1.177000046,1.174181342,0.493155867,6.649999619,2.916078091,0.931185544,0,0,0.448255241,0.585956216,0.23888129,0.246065676,0.056962024,0.514539838,0.103317946,0.103317946,0.163197845,0.299888998,0.024390832,0.024390832
ABQSEA,0,1,1,1,1,1,1.179999948,2.57260704,0.493155867,5.5,3.289215565,1.512923956,0,0,0.531695843,0.51753062,0.418525219,0.319620252,0.11251758,0.435603797,0.884288311,0.884288311,0.161630511,0.145272776,0,0.145272776
ABQSFO,0,0,1,1,0,0,0.896000028,2.568701982,0.112048075,4.549999714,3.785052299,1.75779736,0,0,0.551537097,0.49675566,0.492288053,0.280076593,0.111583874,0.284810126,1.262447953,1.262447953,0.465850145,0.002080781,0,0.002080781
ABQSJC,0,0,1,1,0,1,0.870000005,2.547852516,0.296376467,4.549999714,3.785052299,1.75779736,0,0,0.67122817,0.403523773,0.461854279,0.296784133,0.056962024,0.528053403,1.300189853,1.300189853,0.487885147,0.000216359,0.000200083,0.000216359
ABQSLC,0,1,0,1,0,1,0.493000001,1.999188185,0.493155867,7.549999714,2.851708889,0.853518009,0,0,0.518570065,0.634441495,0.422798753,0.229656428,0.11190708,0.504590333,2.150577068,2.150577068,0.498018652,0.693653762,0.498271465,0.693653762
ABQSMF,0,0,1,1,0,1,0.865999997,2.515153646,0.493155867,7.75,2.939292431,1.175246835,0,0,0.536093056,0.430550814,0.495638072,0.337324679,0.056962024,0.548323631,1.302533627,1.302533627,0.450021088,0.018106861,0.018046884,0.018106861
ABQSNA,0,0,0,1,0,1,0.649999976,2.390954494,0.30749619,7.099999905,3.006306171,3.04691124,0,0,0.626582265,0.373417735,0.455696225,0.316455692,0.056962024,0.341772139,1.720352888,1.720352888,0.836111426,0.023108285,0.094442606,0.023108285
ABQSTL,1,0,0,0,0,1,0.934000015,0.951779544,0.493155867,5.599999905,2.975560904,1.418342233,0,0,0.603429675,0.356053233,0.279941589,0.223466411,0.061235528,0.489938319,0.19626449,0.19626449,0.195338115,0.5101614,0.020373456,0.020373456
ABQSYR,1,0,0,0,0,0,1.720999956,1.745971918,0.364549071,5.149999619,2.760963202,0.693686128,0,0,0.422072798,0.425764769,0.227056965,0.364583343,0.056962024,0.284810126,0,0.024497902,0,0,0,0
ABQTPA,1,1,0,1,0,1,1.496999979,1.723309517,0.102310307,6.75,2.866059542,1.344468355,0,0,0.470547199,0.593989849,0.274793178,0.323582172,0.090551183,0.442290425,0,0,0.237717465,0.020512298,0,0.026667267
ABQTUL,1,0,0,0,0,1,0.60799998,1.157943606,0.493155867,9.199999809,2.967562199,0.801403582,0,0,0.690065265,0.41724205,0.263041824,0.271864206,0.056962024,0.565113187,0.322775275,0.322775275,0.461938351,0.928705335,0.322775275,0.545851052
ABQTUS,0,0,0,1,0,1,0.32100001,2.057116747,0.493155867,6.849999905,2.640331984,0.798185945,0,0,0.570170641,0.409007519,0.302238107,0.42643553,0.056962024,0.415244907,3.291584492,3.291584492,2.077482224,0.36416617,1.646630168,0.36416617
ABQTYS,0,1,0,0,0,0,1.274000049,1.29913795,0.493155867,6.399999619,2.770175695,0.679860592,0,0,0.291463822,0.702207088,0.203018501,0.209509894,0.056962024,0.284810126,0.049394879,0.049394879,0.183377683,0.187407061,0.049394879,0.059788201
AGSATL,0,1,0,0,0,0,0.143000007,1.084030509,0.625469565,4.350000381,2.920613289,1.488396049,0,0,0.180000007,0.899999976,0.109999999,0.150000006,0.106666669,0,7.970429897,8.39767E-05,7.970429897,1.568240762,8.39767E-05,6.502683163
AGSBNA,0,1,0,0,0,0,0.328999996,0.882151008,0.625469565,4.300000191,2.810999632,0.820181787,0,0,0.203703701,0.805555582,0.069444448,0.180555552,0,0.21296297,2.301240206,0.084849998,2.301240206,0.424962372,0.084849998,2.21027565
AGSBOS,0,1,0,0,0,0,0.861000001,1.712787151,0.488609225,3.800000191,3.366915226,1.492759705,0,0,0.256302536,0.806722701,0.180672273,0.235294119,0.05882353,0,0.789303958,0.263008773,0.789303958,0.00169509,0,0.006007249
AGSBWI,0,0,0,0,0,0,0.497000009,1.394619346,0.297422618,5.400000095,3.361859083,1.573223948,0,0,0.196428567,0.78125,0.160714284,0.236607149,0.044642858,0.232142851,1.608574986,0.445868194,1.608574986,0.007043236,0.00072751,0.000601939
AGSCVG,0,1,0,0,0,0,0.419999987,0.967720211,0.625469565,3.550000191,2.796189308,1.009906411,0,0,0.03846154,0.987179518,0.083333336,0.089743592,0,0,1.240484595,0,1.240484595,0.131602108,0.229892835,1.167275906
AGSDAL,0,0,0,0,0,0,0.862999976,1.07468915,0.114111654,4.100000381,2.954239607,1.640695095,1,1,0.042857144,0.528571427,0,0.128571436,0,0.414285719,0.023216557,0,0.708730638,0.200515687,0,0.232711852
AGSDCA,0,1,0,0,0,0,0.467999995,1.374441385,0.234365851,5.400000095,3.361859083,1.573223948,0,0,0.208029196,0.7591241,0.124087594,0.204379559,0.032846715,0,1.750109076,0.472744942,1.750109076,0.005852072,0,0.126200616
AGSDEN,0,1,0,0,0,0,1.333999991,1.339956284,0.446166456,5.199999809,3.216861248,1.126415968,0,0,0.278169006,0.774647892,0.334507048,0.17957747,0.080985919,0,0.133334458,0.003599153,0,0.10516458,0,0.010770097
AGSDFW,0,1,0,0,0,0,0.874000013,1.079409719,0.114111654,4.100000381,2.954239607,1.640695095,0,1,0.372611463,0.824840784,0.143312097,0.140127391,0.092356689,0,0,0,0.69137162,0.194401026,0,0.225931063
AGSFLL,0,1,0,0,0,0,0.513999999,1.643871665,0.211625397,4.350000381,2.840555429,1.604555488,0,0,0.19298245,0.903508782,0.02631579,0.232456148,0.114035085,0.157894731,2.618506193,0.409914732,2.618506193,0.505394101,0.002372415,1.770639896
AGSLAX,0,1,0,0,0,0,2.089999914,2.143661022,0.183144793,4.550000191,2.846689463,2.513157606,0,0,0.313793093,0.796551704,0.268965513,0.220689654,0.044827588,0.168965518,0.00605679,0,0.048441589,0.002256724,0,0.002256724
AGSLGA,0,1,0,0,0,0,0.677999973,1.550562501,0.11014735,3.450000048,3.271762848,3.050537109,0,0,0.274590164,0.758196712,0.172131151,0.22131148,0.065573767,0,1.076024771,0.332243711,1.076024771,0.000543195,0,0.005913388
AGSMCI,0,0,0,0,0,0,0.819000006,0.817591965,0.561136305,3.700000048,2.850551128,0.968467474,0,0,0.292792797,0.77477479,0.180180177,0.225225225,0.058558557,0.220720723,0.316838652,0.018526293,0.316838652,0.156648412,0,0
AGSMCO,0,1,0,0,0,0,0.342000008,1.47057116,0.472719043,3.950000048,2.596888304,0.926804721,0,0,0.241379306,0.844827592,0.148275867,0.220689654,0.089655176,0.155172408,3.918928146,0.598599792,3.918928146,0.78282243,0.002890604,2.758244038
AGSMEM,0,1,0,0,0,0,0.47299999,0.811303616,0.625469565,4.75,2.72880888,0.782402158,0,0,0.131578952,0.776315808,0.046052631,0.375,0.131578952,0,1.469472647,0.002156748,1.469472647,0.376505226,0.002156748,1.413612127
AGSMIA,0,1,0,0,0,0,0.532000005,1.654881597,0.211625397,4.350000381,2.840555429,1.604555488,0,0,0.318584085,0.818584085,0.11061947,0.207964599,0.088495575,0,2.525066614,0.388889641,2.525066614,0.489707321,0.00130216,1.715606451
AGSMSY,0,1,0,0,0,0,0.541000009,1.151601672,0.625469565,5.5,2.64642334,0.812517822,0,0,0.217391297,0.852173924,0.100000001,0.213043481,0.082608692,0.204347819,1.437696815,0.048859149,1.799706817,0.462262899,0.048859149,1.081569314
AGSORD,0,1,0,0,0,0,0.676999986,0.937878251,0.155067578,2.950000048,2.997161865,2.151733637,0,0,0.346405238,0.735294104,0.310457528,0.169934645,0.01633987,0,0,0.010502194,0,0.092228629,0,0
AGSSAT,0,1,0,0,0,0,1.008999944,1.314822316,0.625469565,3.5,2.591505527,0.937307358,0,0,0.331775695,0.83644861,0.112149529,0.280373842,0.009345794,0.205607474,0.108563095,0.006250024,0.702967703,0.000330158,0.006250024,0.0067302
AGSSEA,0,0,0,0,0,0,2.305999994,2.301687002,0.625469565,2.950000048,3.129598856,1.247892022,0,0,0.265873015,0.789682508,0.253968269,0.25,0.103174604,0.150793657,0.037038654,0.005614175,0.020234345,0.036183737,0,0
AGSSFO,0,1,0,0,0,0,2.279999971,2.297781944,0.112048075,2,3.625435829,1.449868917,0,0,0.285714298,0.768907547,0.327731103,0.210084036,0.054621849,0,0.022616845,0,0.006727252,0.007077294,0,0.007077294
AGSSTL,0,1,0,0,0,0,0.59799999,0.680859685,0.625469565,3.050000191,2.815944433,1.16987896,0,0,0.337606847,0.628205121,0.115384616,0.15384616,0.004273504,0.205128208,0.562703729,0.046977676,0.562703729,0.194270208,0.046977676,0.52508086
AGSTPA,0,1,0,0,0,0,0.372999996,1.452389598,0.102310307,4.199999809,2.706443071,1.108946204,0,0,0.204724416,0.866141737,0.11023622,0.22047244,0.090551183,0.157480314,3.530300856,0.474695623,3.530300856,0.741488159,0.002924451,2.594011545
ALBATL,0,1,0,1,0,0,0.851999998,1.453540325,0.424968541,4.350000381,3.264013052,1.910843015,0,0,0.31709677,0.666129053,0.198709667,0.431182802,0.106666669,0.209677413,0.556798398,0,0.556798398,0.022908529,0,0.013837215
ALBAUS,1,1,0,0,0,1,1.577000022,1.620044947,0.424968541,3.75,3.193150759,1.045970798,0,0,0.520430088,0.571684599,0.177598566,0.404301077,0.033333335,0.454121858,0.028284783,0.000911231,0.07687635,0,0.028284783,0.032181356
